System information:
Version                                  | VisiWin7 7.2
Framework                                | DotNet
Project                                  | Single
VisiWin.S7_TIA.Brw.dll           | 3.0.1.56(Debug=False)
VisiWin.Browser.Components.Shared.dll | 7.0.0.41(Debug=False)

Messages
3/21/2023 1:21:11 PM   | Message | Attention: Some items in the PLC project contain special characters. | TIAParser.FormatName() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB US 2 Slider Faults.Fault manager"Not Stop"" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB US 2 Slider Faults.Fault managerStop" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB US 2 Slider Faults.Fault managerInfo" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB US 2 Slider Faults.Fault managerGeneral" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB US 2 Belt Faults.Fault handler 15 Byte"Not Stop"" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB US 2 Belt Faults.Fault handler 15 ByteStop" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB US 2 Belt Faults.Fault handler 15 ByteInfo" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB US 2 Belt Faults.Fault handler 15 ByteGeneral" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB US 1 Slider Faults.Fault manager"Not Stop"" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB US 1 Slider Faults.Fault managerStop" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB US 1 Slider Faults.Fault managerInfo" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB US 1 Slider Faults.Fault managerGeneral" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB US 1 Belt Faults.Fault handler 15 Byte"Not Stop"" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB US 1 Belt Faults.Fault handler 15 ByteStop" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB US 1 Belt Faults.Fault handler 15 ByteInfo" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB US 1 Belt Faults.Fault handler 15 ByteGeneral" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB WZ Air Main.Circulation FanBetriebsstunden" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB WZ Air Main.Exhaust FanBetriebsstunden" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB WZ Air Faults.Fault Handler 15 Byte"Not Stop"" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB WZ Air Faults.Fault Handler 15 ByteStop" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Variant" of item "RFC_IDB WZ Air Faults.Fault Handler 15 ByteInfo" is not supported! | TIAParser.CreateMemberInfo() | 
3/21/2023 1:21:12 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB WZ Air Faults.Fault Handler 15 ByteGeneral" is not supported! | TIAParser.CreateMemberInfo() | 
